AT2G04030	6	10	2	7	9	4	9	4	4	9	9	7	5	8	8	3	1	1	8	3	6	3	10	3	3	6	9	7	10	4	5	5	1	3	8	2	4	9	5	9	4	9	1	6	10	10	9	7	8
AT5G20140	4	7	1	5	7	2	3	10	3	8	6	9	6	2	6	1	8	2	9	10	2	9	9	8	8	8	6	8	8	3	10	1	6	4	5	4	2	10	6	2	1	1	10	7	1	7	5	5	3
AT5G62720	1	1	7	3	6	5	5	10	2	1	4	9	10	3	6	1	8	2	9	10	5	9	9	8	8	3	6	8	8	2	10	6	6	5	5	4	2	10	7	5	6	5	5	4	2	2	7	10	2
AT4G38100	5	1	10	4	10	10	2	7	9	7	7	3	8	5	10	9	9	10	6	7	10	4	1	4	5	10	3	5	5	7	6	7	4	1	7	3	8	7	2	6	3	7	5	1	2	2	7	10	2
AT5G21430	4	7	1	5	5	2	7	10	10	8	10	1	9	2	1	7	4	7	5	2	7	9	4	6	4	9	5	1	4	3	2	1	3	6	9	1	5	8	6	2	2	1	6	7	4	3	5	5	7
AT3G21055	3	8	9	10	5	1	6	10	8	10	2	8	2	4	3	10	2	9	10	4	3	2	8	10	2	2	4	2	3	10	8	4	2	6	3	6	9	4	3	4	2	1	6	7	4	6	5	5	7
AT4G23890	1	9	8	5	7	2	3	10	3	5	6	9	10	2	6	1	8	2	9	10	2	9	9	8	8	3	6	8	8	2	10	6	6	4	5	4	2	1	6	2	1	1	6	8	8	6	2	10	4
AT4G38380	4	8	9	5	5	1	6	10	10	8	10	1	9	10	7	7	4	7	5	2	7	1	4	6	4	9	5	4	4	3	2	1	3	6	9	1	5	8	6	2	1	1	6	7	4	7	5	5	3
AT4G25910	8	6	4	6	3	9	10	5	6	9	9	7	5	6	8	5	3	1	2	8	9	5	10	5	3	1	10	9	2	5	7	10	1	3	1	2	7	6	8	9	5	9	2	5	9	10	9	7	8
AT2G43010	1	5	8	3	6	5	7	10	2	8	10	1	6	3	1	7	4	7	5	2	7	1	4	6	9	9	5	4	4	3	3	1	3	6	9	1	2	8	6	2	1	1	6	7	4	7	5	5	3
AT4G25050	10	3	6	9	1	3	8	4	1	2	5	5	4	7	2	6	1	6	7	9	6	3	10	7	6	2	9	6	9	9	5	4	8	8	6	7	4	3	5	10	7	9	9	10	3	1	9	1	8
AT1G51350	4	8	9	5	5	1	6	10	10	4	10	1	9	10	7	10	4	7	10	2	7	1	4	2	4	9	5	2	1	6	8	1	3	6	9	1	5	8	3	2	2	1	6	7	4	3	5	5	3
AT1G12250	4	7	1	8	5	2	3	10	3	8	6	9	6	2	6	1	8	2	9	10	2	9	9	8	8	8	6	8	8	2	1	6	6	4	10	4	2	10	6	8	9	8	10	9	1	7	5	5	3
AT2G41680	8	6	2	6	3	9	10	5	6	9	9	7	5	6	8	3	3	1	2	3	9	3	10	5	3	6	10	7	10	4	5	5	1	3	8	2	4	6	5	9	5	9	2	3	9	10	9	2	8
AT3G15110	4	7	1	8	4	2	3	1	3	5	6	9	10	2	6	1	8	2	9	10	2	9	9	8	8	8	6	8	4	3	3	1	6	5	5	4	2	8	6	2	1	1	6	7	4	7	5	5	7
AT2G40400	9	7	1	8	7	2	3	1	3	5	6	9	10	2	6	1	7	2	9	1	2	8	9	6	9	8	5	8	6	3	1	6	6	4	10	8	2	1	6	7	6	5	5	4	2	2	7	10	2
AT5G07020	3	9	9	10	8	1	4	9	8	10	2	8	2	4	3	2	2	9	3	4	3	2	8	10	2	2	4	2	3	10	9	4	2	7	3	6	9	4	3	4	10	4	6	2	8	6	3	5	9
AT5G16660	9	7	1	5	5	1	7	10	10	8	10	1	9	10	7	7	4	7	5	2	7	1	4	6	4	9	5	1	4	3	2	1	3	6	9	1	5	8	6	2	1	1	6	7	4	7	5	5	3
