wid	startWindow	stopWindow	windowSize	geneSize	groupGenes
2309	23	32	9	6	['AT1G21750', 'AT2G37400', 'AT1G78915', 'AT1G54790', 'AT1G65260', 'AT1G05385']
3303	33	36	3	14	['AT2G17630', 'AT2G20260', 'AT1G76760', 'AT2G37660', 'AT4G04020', 'AT5G19370', 'AT1G12250', 'AT5G42070', 'AT2G44990', 'AT1G02560', 'AT1G80030', 'AT2G40400', 'AT5G01500', 'AT5G08540']
3904	39	43	4	15	['AT2G29500', 'AT2G20260', 'AT1G03160', 'AT3G08920', 'AT1G16880', 'AT1G67700', 'AT2G18790', 'AT1G80380', 'AT4G33010', 'AT5G42270', 'AT1G14345', 'AT1G02560', 'AT1G56500', 'AT2G29180', 'AT5G08540']
108	1	9	8	4	['AT2G41330', 'AT2G44990', 'AT1G54050', 'AT2G40400']
708	7	15	8	7	['AT2G42975', 'AT4G13010', 'AT1G50250', 'AT1G42960', 'AT5G21430', 'AT3G15360', 'AT5G12470']
103	1	4	3	5	['AT2G26340', 'AT4G23890', 'AT1G16790', 'AT4G28025', 'AT1G03850']
4203	42	45	3	53	['AT4G13670', 'AT3G46780', 'AT5G53170', 'AT1G07510', 'AT1G75690', 'AT1G42960', 'AT4G39960', 'AT5G19500', 'AT5G13120', 'AT2G42975', 'AT2G43010', 'AT1G50250', 'AT2G42220', 'AT3G10130', 'AT3G21055', 'AT2G20270', 'AT4G35770', 'AT3G60370', 'AT5G52970', 'AT3G58010', 'AT4G38380', 'AT3G22690', 'AT1G51350', 'AT5G16660', 'AT4G20820', 'AT5G21430', 'AT1G50460', 'AT5G23890', 'AT3G24590', 'AT1G17850', 'AT1G29920', 'AT2G35040', 'AT4G13010', 'AT3G28850', 'AT1G22020', 'AT4G24930', 'AT1G15820', 'AT2G22360', 'AT1G74710', 'AT5G12470', 'AT4G16155', 'AT1G06690', 'AT1G15140', 'AT1G55370', 'AT1G52220', 'AT2G24020', 'AT2G40760', 'AT1G51110', 'AT5G16150', 'AT5G59250', 'AT3G57680', 'AT3G15110', 'AT1G22450']
3305a	33	38	5	19	['AT5G39830', 'AT2G30950', 'AT5G20140', 'AT1G10170', 'AT4G31560', 'AT1G66670', 'AT3G47060', 'AT4G18370', 'AT1G14150', 'AT2G40100', 'AT1G18730', 'AT1G54580', 'AT3G01440', 'AT4G37925', 'AT4G23890', 'AT1G14590', 'AT1G72640', 'AT5G03455', 'AT2G26800']
6025	6	31	25	6	['AT1G14150', 'AT5G19370', 'AT2G44990', 'AT4G37925', 'AT5G01500', 'AT2G26800']
1409	14	23	9	31	['AT2G17630', 'AT5G02160', 'AT1G27510', 'AT1G14150', 'AT1G12250', 'AT4G04020', 'AT5G39830', 'AT2G29500', 'AT1G66670', 'AT2G40100', 'AT4G37925', 'AT1G72640', 'AT4G18370', 'AT5G19370', 'AT5G03455', 'AT5G52780', 'AT4G23890', 'AT5G01500', 'AT1G14590', 'AT2G30950', 'AT5G20140', 'AT2G20260', 'AT3G47060', 'AT5G13120', 'AT4G24750', 'AT5G15250', 'AT2G44990', 'AT3G15110', 'AT5G35170', 'AT2G41330', 'AT2G26800']
3405	34	39	5	16	['AT2G17630', 'AT5G19370', 'AT2G29500', 'AT2G30695', 'AT2G20260', 'AT3G08920', 'AT1G76760', 'AT2G37660', 'AT4G04020', 'AT1G67700', 'AT1G12250', 'AT2G44990', 'AT1G80030', 'AT1G16880', 'AT5G01500', 'AT1G02560']
506	5	11	6	5	['AT2G27290', 'AT4G39960', 'AT3G10130', 'AT1G67280', 'AT2G30950']
4405	44	49	5	34	['AT4G13670', 'AT1G07510', 'AT4G20820', 'AT1G42960', 'AT2G43010', 'AT1G74710', 'AT2G20270', 'AT4G35770', 'AT3G60370', 'AT5G52970', 'AT3G58010', 'AT4G38380', 'AT3G22690', 'AT2G40760', 'AT2G27290', 'AT1G17850', 'AT1G29920', 'AT5G19500', 'AT4G13010', 'AT1G15820', 'AT1G67280', 'AT5G12470', 'AT1G06690', 'AT2G30950', 'AT1G15140', 'AT1G55370', 'AT3G55330', 'AT2G24020', 'AT5G13120', 'AT1G51110', 'AT5G16150', 'AT5G16660', 'AT3G57680', 'AT3G15110']
38011	38	49	11	28	['AT4G13670', 'AT1G07510', 'AT4G20820', 'AT1G42960', 'AT2G43010', 'AT1G74710', 'AT2G20270', 'AT4G35770', 'AT5G52970', 'AT3G58010', 'AT4G38380', 'AT3G22690', 'AT2G40760', 'AT1G17850', 'AT1G29920', 'AT5G19500', 'AT4G13010', 'AT1G15820', 'AT5G12470', 'AT1G06690', 'AT1G15140', 'AT1G55370', 'AT2G24020', 'AT5G13120', 'AT5G16150', 'AT5G16660', 'AT3G57680', 'AT3G15110']
4503	45	48	3	13	['AT2G21160', 'AT3G53560', 'AT1G30510', 'AT5G62720', 'AT1G74070', 'AT5G08050', 'AT5G02160', 'AT1G27510', 'AT2G37230', 'AT4G38100', 'AT1G31180', 'AT1G03850', 'AT2G40400']
2204	22	26	4	14	['AT1G29920', 'AT1G23740', 'AT1G10170', 'AT1G07510', 'AT4G20820', 'AT2G24020', 'AT1G15820', 'AT3G22690', 'AT2G40760', 'AT5G42070', 'AT3G57680', 'AT5G12470', 'AT3G24590', 'AT1G06690']
4105	41	46	5	14	['AT2G17630', 'AT5G19370', 'AT2G29500', 'AT2G20260', 'AT1G03160', 'AT3G08920', 'AT1G67700', 'AT1G12250', 'AT5G42070', 'AT2G44990', 'AT1G14345', 'AT1G80030', 'AT5G01500', 'AT1G02560']
4109	41	50	9	8	['AT1G23740', 'AT1G79450', 'AT1G05385', 'AT5G53490', 'AT1G54790', 'AT3G26080', 'AT2G01140', 'AT4G01900']
29017	29	46	17	9	['AT5G19500', 'AT2G42975', 'AT4G13010', 'AT1G50250', 'AT3G58010', 'AT4G38380', 'AT5G16150', 'AT5G16660', 'AT3G24590']
1203	12	15	3	8	['AT2G26340', 'AT1G54780', 'AT3G21055', 'AT5G07020', 'AT5G08050', 'AT1G71500', 'AT1G65230', 'AT5G01220']
12011	12	23	11	5	['AT2G40760', 'AT3G10130', 'AT5G23890', 'AT1G67280', 'AT3G26580']
14016	14	30	16	14	['AT2G17630', 'AT2G20260', 'AT3G47060', 'AT1G27510', 'AT1G14150', 'AT5G19370', 'AT5G52780', 'AT2G40100', 'AT2G44990', 'AT4G37925', 'AT5G35170', 'AT4G23890', 'AT5G01500', 'AT2G26800']
24010	24	34	10	5	['AT1G06690', 'AT4G24750', 'AT1G55370', 'AT3G55330', 'AT4G35770']
3907	39	46	7	10	['AT2G21160', 'AT1G23740', 'AT1G30510', 'AT1G79450', 'AT5G62720', 'AT5G02160', 'AT5G53490', 'AT3G26080', 'AT2G37230', 'AT4G01900']
1406	14	20	6	39	['AT2G17630', 'AT2G01918', 'AT5G02160', 'AT1G27510', 'AT1G14150', 'AT1G12250', 'AT4G24750', 'AT5G39830', 'AT2G29500', 'AT1G66670', 'AT2G40100', 'AT2G27290', 'AT1G14590', 'AT1G74710', 'AT5G42765', 'AT4G18370', 'AT5G19370', 'AT1G18730', 'AT4G37925', 'AT5G52780', 'AT4G23890', 'AT5G01500', 'AT2G20260', 'AT1G72640', 'AT2G30950', 'AT5G20140', 'AT5G08540', 'AT3G47060', 'AT5G13120', 'AT1G76760', 'AT4G39960', 'AT4G04020', 'AT5G15250', 'AT2G44990', 'AT3G15110', 'AT5G35170', 'AT2G41330', 'AT5G03455', 'AT2G26800']
10014	10	24	14	9	['AT1G20810', 'AT1G15140', 'AT2G21160', 'AT1G79450', 'AT3G53560', 'AT1G74070', 'AT5G53490', 'AT3G26080', 'AT4G28025']
12014	12	26	14	17	['AT2G17630', 'AT5G02160', 'AT3G47060', 'AT5G13120', 'AT1G27510', 'AT1G14150', 'AT5G19370', 'AT5G15250', 'AT2G44990', 'AT3G15110', 'AT4G37925', 'AT5G52780', 'AT4G23890', 'AT2G41330', 'AT4G04020', 'AT5G01500', 'AT2G26800']
3003	30	33	3	4	['AT1G32500', 'AT2G18790', 'AT1G16880', 'AT2G29180']
2603	26	29	3	13	['AT1G21750', 'AT2G37400', 'AT1G74070', 'AT1G16790', 'AT1G78915', 'AT1G51110', 'AT1G54790', 'AT1G65260', 'AT3G26080', 'AT4G28025', 'AT1G05385', 'AT1G03850', 'AT2G21160']
2207a	22	29	7	10	['AT2G01918', 'AT5G20140', 'AT5G02160', 'AT2G30950', 'AT4G18370', 'AT4G04020', 'AT1G12250', 'AT5G15250', 'AT3G15110', 'AT2G41330']
2704	27	31	4	20	['AT5G39830', 'AT3G10470', 'AT1G72640', 'AT1G55370', 'AT1G10170', 'AT4G31560', 'AT4G35770', 'AT3G55330', 'AT5G13120', 'AT4G39960', 'AT4G24750', 'AT2G40760', 'AT5G42070', 'AT1G67280', 'AT3G26580', 'AT2G27290', 'AT1G06690', 'AT1G31180', 'AT5G03455', 'AT1G17850']
103a	1	4	3	27	['AT2G17630', 'AT3G10470', 'AT1G07510', 'AT4G20820', 'AT1G14150', 'AT1G02560', 'AT3G10130', 'AT1G54050', 'AT3G22690', 'AT2G40100', 'AT5G16660', 'AT5G42270', 'AT1G29920', 'AT2G30695', 'AT4G19830', 'AT2G37660', 'AT1G67280', 'AT3G26580', 'AT2G30950', 'AT1G79230', 'AT5G15250', 'AT3G57680', 'AT2G44990', 'AT5G35170', 'AT2G41330', 'AT2G40400', 'AT2G26800']
4024	4	28	24	5	['AT5G16150', 'AT5G19500', 'AT3G58010', 'AT4G38380', 'AT4G39460']
2703	27	30	3	18	['AT1G29920', 'AT3G10130', 'AT2G42975', 'AT4G13010', 'AT1G07510', 'AT1G15140', 'AT1G50250', 'AT3G58010', 'AT4G38380', 'AT3G22690', 'AT5G16150', 'AT5G19500', 'AT3G57680', 'AT1G74710', 'AT1G15820', 'AT1G50460', 'AT2G43010', 'AT3G24590']
3207	32	39	7	12	['AT4G13670', 'AT1G55370', 'AT2G20270', 'AT1G07510', 'AT3G60370', 'AT5G52970', 'AT1G15820', 'AT3G15360', 'AT3G57680', 'AT5G23890', 'AT2G43010', 'AT5G12470']
3008	30	38	8	13	['AT3G10470', 'AT3G10130', 'AT5G13120', 'AT5G42765', 'AT4G01050', 'AT4G39960', 'AT1G67280', 'AT3G15110', 'AT3G26580', 'AT2G27290', 'AT1G17850', 'AT1G31180', 'AT4G01900']
509	5	14	9	11	['AT1G20810', 'AT1G21750', 'AT3G53560', 'AT1G74070', 'AT1G16790', 'AT5G53490', 'AT1G54580', 'AT3G26080', 'AT4G28025', 'AT1G05385', 'AT1G03850']
29021	29	50	21	4	['AT4G13670', 'AT5G52970', 'AT5G12470', 'AT1G07510']
36010	36	46	10	11	['AT1G29920', 'AT3G10130', 'AT4G35770', 'AT4G20820', 'AT5G13120', 'AT1G42960', 'AT3G22690', 'AT4G39960', 'AT3G15110', 'AT1G06690', 'AT1G17850']
4604	46	50	4	4	['AT4G31390', 'AT1G73530', 'AT2G26360', 'AT1G03600']
1703	17	20	3	9	['AT1G23740', 'AT1G10170', 'AT4G35770', 'AT1G52220', 'AT3G22690', 'AT5G42070', 'AT3G57680', 'AT4G39730', 'AT1G06690']
1508	15	23	8	6	['AT3G10130', 'AT2G40760', 'AT1G67280', 'AT3G26580', 'AT5G23890', 'AT1G31180']
22011	22	33	11	13	['AT2G17630', 'AT3G08920', 'AT2G20260', 'AT5G62720', 'AT2G37660', 'AT3G01440', 'AT1G14150', 'AT2G40100', 'AT2G44990', 'AT3G47060', 'AT4G23890', 'AT4G37925', 'AT2G26800']
907	9	16	7	6	['AT2G26340', 'AT3G21055', 'AT5G07020', 'AT1G54780', 'AT5G08050', 'AT1G65230']
13014	13	27	14	4	['AT2G18790', 'AT4G33010', 'AT5G42270', 'AT2G29180']
8020	8	28	20	7	['AT2G42220', 'AT5G19500', 'AT4G39460', 'AT3G58010', 'AT4G38380', 'AT5G16150', 'AT5G16660']
2306	23	29	6	4	['AT3G14420', 'AT2G26360', 'AT3G17830', 'AT4G36810']
3608	36	44	8	4	['AT1G67840', 'AT1G03090', 'AT1G74880', 'AT4G19830']
604a	6	10	4	21	['AT2G42220', 'AT3G46780', 'AT5G53170', 'AT4G16155', 'AT3G28850', 'AT1G75690', 'AT3G60370', 'AT3G58010', 'AT4G38380', 'AT5G19500', 'AT4G39460', 'AT1G51110', 'AT5G16150', 'AT1G51350', 'AT5G59250', 'AT3G25480', 'AT1G22450', 'AT3G15840', 'AT1G56500', 'AT1G22020', 'AT5G08540']
6024	6	30	24	7	['AT1G14150', 'AT5G19370', 'AT2G44990', 'AT5G52780', 'AT4G37925', 'AT5G01500', 'AT2G26800']
4604a	46	50	4	4	['AT1G22450', 'AT1G54780', 'AT1G65230', 'AT5G07020']
